13	35	sdgs	ਦੇਵ ਅਦੇਵ ਖਪੇ ਅਹੰਮੇਵ; ਨ ਭੇਵ ਲਖਿਓ. ਭ੍ਰਮ ਸਿਉ ਭਰਮਾਏ॥	ਖਪੇ, ਲਖਿਓ: ਪੋਲਾ ਬੋਲੋ।		The goods and demons have been consumed in ego, but could not know the mystery of the Lord, being engrossed in delusion.				dayv Adayv khapay Ahaⁿmayv; na bhayv lakheo. bhᵣam seu bharmaa-ay॥
14	35	sdgs	ਬੇਦ ਪੁਰਾਨ ਕਤੇਬ ਕੁਰਾਨ; ਹਸੇਬ ਥਕੇ ਕਰ ਹਾਥ ਨ ਆਏ॥	ਥੱਕੇ।		The Vedas, Puranas, Katebs and the Quran have tired of giving His account, but the Lord could not be comprehended.				bayd puraan katayb kuraan; hasayb thakay kar haath na aa-ay॥
15	35	sdgs	ਪੂਰਨ ਪ੍ਰੇਮ ਪ੍ਰਭਾਉ ਬਿਨਾ; ਪਤਿ ਸਿਉ. ਕਿਨ ਸ੍ਰੀ ਪਦਮਾਪਤਿ ਪਾਏ॥੩॥੨੪੫॥	ਪਤਿ, ਪਦਮਾ-ਪਤਿ: ਪੋਲੇ ਬੋਲੋ।		Without the impact of perfect love, who hath realized Lord-God with grace? 3.245.				pooran pᵣaym pᵣabhaau benaa; pate seu. ken sᵣee padmaapate paa-ay॥3॥245॥
16	35	sdgs	ਆਦ ਅਨੰਤ ਅਗਾਧ ਅਦ੍ਵੈਖ; ਸੁ ਭੂਤ ਭਵਿੱਖ ਭਵਾਨ ਅਭੈ ਹੈ॥	ਅਦ੍ਵੈਖ:ਵਾਵਾ ਪੋਲਾ ਬੋਲੋ।		The Primal, Infinite, Unfathomable Lord is without malice and is fearless in the past, present and future.				aad Anaⁿt Agaadh Adᵤaikh; su bhoot bhaveKH bhavaan Abhai hai॥
17	35	sdgs	ਅੰਤਿ ਬਿਹੀਨ ਅਨਾਤਮ ਆਪ; ਅਦਾਗ ਅਦੋਖ ਅਛਿੱਦ੍ਰ ਅਛੈ ਹੈ॥	ਅਛੈ: ਪੋਲਾ ਬੋਲੋ।		He is endless, Himself Selfless, stainless, blemishless, flawless and invincible.				Aⁿte beheen Anaatam aap; Adaag Adokh AchheDᵣa Achhai hai॥
18	35	sdgs	ਲੋਗਨ ਕੇ ਕਰਤਾ ਹਰਤਾ; ਜਲ ਮੈ. ਥਲ ਮੈ. ਭਰਤਾ ਪ੍ਰਭ ਵੈ ਹੈ॥			He is the Creator and Destroyer of all in water and on land and also their Sustainer-Lord.				logan kay kartaa hartaa; jal mai. thal mai. bhartaa pᵣabh vai hai॥
19	35	sdgs	ਦੀਨ ਦਇਆਲ ਦਇਆ ਕਰ ਸ੍ਰੀਪਤ; ਸੁੰਦਰ ਸ੍ਰੀ ਪਦਮਾਪਤਿ ਏ ਹੈ॥੪॥੨੪੬॥	ਦ-ਇਆਲ, ਦ-ਇਆ।		He, the Lord of maya, is Compassionate to the Lowly, source of Mercy and most beautiful.4.246.				deen daeaal daeaa kar sreepat; suⁿdar sᵣee padmaapate ay hai॥4॥246॥
20	35	sdgs	ਕਾਮ ਨ ਕ੍ਰੋਧ ਨ ਲੋਭ ਨ ਮੋਹ ਨ; ਰੋਗ ਨ ਸੋਗ ਨ ਭੋਗ ਨ ਭੈ ਹੈ॥			He is without lust, anger, greed, attachment, ailment, sorrow, enjoyment and fear.				kaam na kᵣodh na lobh na moh na; rog na sog na bhog na bhai hai॥
21	35	sdgs	ਦੇਹ ਬਿਹੀਨ. ਸਨੇਹ ਸਭੋ ਤਨ; ਨੇਹ ਬਿਰਕਤ ਅਗੇਹ ਅਛੈ ਹੈ॥	ਬਿ-ਰਕਤ।		He is body-less, loving everybody but without worldly attachment, invincible and cannot be held in grasp.				dayh beheen. sanayh sabho tan; nayh berakt Agayh Achhai hai॥
22	35	sdgs	ਜਾਨ ਕੋ ਦੇਤ. ਅਜਾਨ ਕੋ ਦੇਤ; ਜਮੀਨ ਕੋ ਦੇਤ. ਜਮਾਨ ਕੋ ਦੈ ਹੈ॥			He provides sustenance to all animate and inanimate beings and all those living on the earth and in the sky.				jaan ko dayt. Ajaan ko dayt; jameen ko dayt. jamaan ko dai hai॥
23	35	sdgs	ਕਾਹੇ ਕੋ ਡੋਲਤ ਹੈ. ਤੁਮਰੀ ਸੁਧ; ਸੁੰਦਰ ਸ੍ਰੀ ਪਦਮਾਪਤਿ ਲੈ ਹੈ॥੫॥੨੪੭॥	ਸੁੱਧ।		Why dost thou waver, O creature! The beautiful Lord of maya will take care of thee. 5.247.				kaahay ko ddolat hai. tumree sudh; suⁿdar sᵣee padmaapate lai hai॥5॥247॥
24	35	sdgs	ਰੋਗਨ ਤੇ ਅਰ ਸੋਗਨ ਤੇ; ਜਲ ਜੋਗਨ ਤੇ. ਬਹੁ ਭਾਂਤ ਬਚਾਵੈ॥			He protects in many blows, but none doth inflict thy body.				rogan tay Ar sogan tay; jal jogan tay. bahu bhaaⁿt bachaavai॥
25	35	sdgs	ਸੱਤ੍ਰ ਅਨੇਕ ਚਲਾਵਤ ਘਾਵ; ਤਊ ਤਨ ਏਕ ਨ ਲਾਗਨ ਪਾਵੈ॥			The enemy strikes many blows, but none doth inflict thy body.				saTᵣa Anayk chalaavat ghaav; taoo tan ayk na laagan paavai॥
26	35	sdgs	ਰਾਖਤ ਹੈ. ਅਪਨੋ ਕਰ ਦੈ ਕਰ; ਪਾਪ ਸਬੂਹ. ਨ ਭੇਟਨ ਪਾਵੈ॥			When the Lord protects with his own hands, but none of the sins even comes near thee.				raakhat hai. Apno kar dai kar; paap sabooh. na bhayttan paavai॥
27	35	sdgs	ਔਰ ਕੀ ਬਾਤ ਕਹਾ ਕਹ ਤੋ ਸੌ; ਸੁ ਪੇਟ ਹੀ ਕੇ ਪਟ ਬੀਚ ਬਚਾਵੈ॥੬॥੨੪੮॥	ਪਟ: ਪੋਲਾ ਬੋਲੋ। (ਪਟ) ਬਸਤ੍ਰ।		What else should I say unto you, He protects (the infant) even in the membranes of the womb.6.248.				aur kee baat kahaa kaha to sau; su paytt hee kay patt beech bachaavai॥6॥248॥
28	35	sdgs	ਜੱਛ ਭੁਜੰਗ ਸੁ ਦਾਨਵ ਦੇਵ; ਅਭੇਵ ਤੁਮੈ ਸਭ ਹੀ ਕਰ ਧਿਆਵੈ॥			The Yakshas, serpents, demons and gods meditate on Thee considering Thee as Indiscriminant.				jaCHH bhujaⁿg su daanav dayv; Abhayv tumai sabh hee kar dheaavai॥
29	35	sdgs	ਭੂਮ ਅਕਾਸ ਪਤਾਲ ਰਸਾਤਲ; ਜੱਛ ਭੁਜੰਗ ਸਭੈ ਸਿਰ ਨਿਆਵੈ॥			The beings of the earth, Yakshas of the sky and the serpents of the nether-world bow their heads before thee.				bhoom Akaas pataal rasaatal; jaCHH bhujaⁿg sabhai ser neaavai॥
30	35	sdgs	ਪਾਇ ਸਕੈ ਨਹੀ ਪਾਰ ਪ੍ਰਭਾਹੂ ਕੋ; ਨੇਤ ਹੀ ਨੇਤਹ ਬੇਦ ਬਤਾਵੈ॥			None could comprehend the limits of Thy Glory and even the Vedas declare Thee as ‘Neti, Neti’				paae sakai nahee paar prabhaahoo ko; nayt hee naytaha bayd bataavai॥
31	35	sdgs	ਖੋਜ ਥਕੇ ਸਭ ਹੀ ਖੁਜੀਆ; ਸੁਰ ਹਾਰ ਪਰੇ. ਹਰਿ ਹਾਥ ਨ ਆਵੈ॥੭॥੨੪੯॥	ਥੱਕੇ।		All the searchers have got tired in their search and none of them could realize the Lord. 7.249.				khoj thakay sabh hee khujeeaa; sur haar paray. hare haath na aavai॥7॥249॥
32	35	sdgs	ਨਾਰਦ ਸੇ. ਚਤੁਰਾਨਨ ਸੇ; ਰੁਮਨਾਰਿਖ ਸੇ. ਸਭਹੂੰ ਮਿਲਿ ਗਾਇਓ॥			Narada, Brahma and the sage Rumna all have together sung Thy Praises.				naarad say. chaturaanan say; rumnaarekh say. sabhahooⁿ mele gaaeo॥
33	35	sdgs	ਬੇਦ ਕਤੇਬ ਨ ਭੇਦ ਲਖਿਓ; ਸਭ ਹਾਰ ਪਰੇ. ਹਰਿ ਹਾਥ ਨ ਆਇਓ॥	ਲਖਿਓ: ਪੋਲਾ ਬੋਲੋ।		The Vedas and Katebs could not know His sectet all have got tired, but the Lord could not be realised.				bayd katayb na bhayd lakheo; sabh haar paray. hare haath na aaeo॥
34	35	sdgs	ਪਾਇ ਸਕੈ ਨਹੀ. ਪਾਰ ਉਮਾਪਤ; ਸਿੱਧ ਸਨਾਥ ਸਨੰਤਨ ਧਿਆਇਓ॥	ਉਮਾ-ਪਤ: ਪੋਲਾ ਬੋਲੋ।		Shiva also could not know His limits the adepts (Siddhas) alongwith Naths and Sanak etc. meditated upon Him.				paae sakai nahee. paar umaapat; seDH sanaath sanaⁿtan dheaaeo॥
35	35	sdgs	ਧਿਆਨ ਧਰੋ. ਤਿਹ ਕੋ ਮਨ ਮੈ; ਜਿਹ ਕੋ ਅਮਿਤੋਜੁ ਸਭੈ ਜਗ ਛਾਇਓ॥੮॥੨੫੦॥	ਅਮਿੱਤੋਜੁ। ਜੱਗ।		Concentrate upon Him in thy mind, whose Unlimited Glory is spread in all the world.8.250.				dheaan dharo. teha ko man mai; jeha ko Ametoju sabhai jag chhaaeo॥8॥250॥
36	35	sdgs	ਬੇਦ ਪੁਰਾਨ ਕਤੇਬ ਕੁਰਾਨ; ਅਭੇਦ ਨ੍ਰਿਪਾਨ ਸਭੈ ਪਚ ਹਾਰੇ॥	ਪਚ ਪੋਲਾ ਬੋਲੋ।(ਨ੍ਰਿਪਾਨ) ਰਾਜਾ।		The Vedas, Puranas, Katebs and the Quran and kings…all are tired and greatly afflicted by not knowing the Lord’s mystery.				bayd puraan katayb kuraan; Abhayd nᵣepaan sabhai pach haaray॥
37	35	sdgs	ਭੇਦ ਨ ਪਾਇ ਸਕਿਓ ਅਨਭੇਦ ਕੋ; ਖੇਦਤ ਹੈ. ਅਨਛੇਦ ਪੁਕਾਰੇ॥			They could not comprehend the mystery of the Indis-criminate Lord, being greatly aggrieved, they recite Name of the Unassailable Lord.				bhayd na paae sakeo Anbhayd ko; khaydat hai. Anchhayd pukaaray॥
38	36	sdgs	ਰਾਗ ਨ ਰੂਪ ਨ ਰੇਖ ਨ ਰੰਗ ਨ; ਸਾਕ ਨ ਸੋਗ ਨ. ਸੰਗਿ ਤਿਹਾਰੇ॥			The Lord who is without affection, form, mark, colour, relative, and sorrow, abides with thee.				raag na roop na raykh na raⁿg na; saak na sog na. saⁿge tehaaray॥
39	36	sdgs	ਆਦਿ ਅਨਾਦਿ ਅਗਾਧ ਅਭੇਖ; ਅਦ੍ਵੈਖ ਜਪਿਓ. ਤਿਨ ਹੀ ਕੁਲ ਤਾਰੇ॥੯॥੨੫੧॥	ਅਦ੍ਵੈਖ: ਵਾਵਾ ਪੋਲਾ ਬੋਲ।		Those who have remembered that Primal , beginningless, guiseless and blemishless Lord, they have ferried across their whole clan.9.251				aade Anaade Agaadh Abhaykh; Adᵤaikh japeo. ten hee kul taaray॥9॥251॥
40	36	sdgs	ਤੀਰਥ ਕੋਟ ਕੀਏ ਇਸਨਾਨ; ਦੀਏ ਬਹੁ ਦਾਨ. ਮਹਾ ਬ੍ਰਤ ਧਾਰੇ॥			Having taken bath at millions of pilgrim-stations, having given many gifts in charity and giving observed important fasts.				teerath kott keeay esnaan; deeay bahu daan. mahaa bᵣat dhaaray॥
41	36	sdgs	ਦੇਸ ਫਿਰਿਓ. ਕਰਿ ਭੇਸ ਤਪੋ; ਧਨ ਕੇ ਸਧਰੇ. ਨ ਮਿਲੇ ਹਰਿ ਪਿਆਰੇ॥			Having wandered in the garb of an ascetic in many countries and having worn matted hair, the beloved Lord could not be realised.				days phereo. kare bhays tapo; dhan kay sadhray. na melay hare peaaray॥
42	36	sdgs	ਆਸਨ ਕੋਟ ਕਰੇ ਅਸਟਾਂਗ; ਧਰੇ ਬਹੁ ਨ੍ਯਾਸ. ਕਰੇ ਮੁਖ ਕਾਰੇ॥			Adopting millions of postures and observing the eight steps of Yoga, touching the limbs while reciting the mantras and blackening the face.				aasan kott karay Astaaⁿg; dharay bahu nyaas. karay mukh kaaray॥
43	36	sdgs	ਦੀਨ ਦਇਆਲ ਅਕਾਲ ਭਜੇ ਬਿਨ; ਅੰਤ ਕੋ. ਅੰਤ ਕੇ ਧਾਮ ਸਿਧਾਰੇ॥੧੦॥੨੫੨॥	ਭਜੇ: ਪੋਲਾ ਬੋਲੋ।		But without the remembrance of the Non-temporal and Merciful Lord of the lowly, one will ultimately go to the abode of Yama. 10.252.				deen daeaal Akaal bhajay ben; Aⁿt ko. Aⁿt kay dhaam sedhaaray॥10॥252॥
